,sentence1,sentence2,label
44,"John Schneider het grasieus verouder, ek was lief vir hom op die show 'Dukes of Hazzard!'",John Schneider het baie goed verouder ... ek was lief vir hom op die Dukes van Hazzard!,0.969
45,Ook mans word later verouderd dan vroue.,Ook mans word later volwasse as vrou.,0.969
46,Dit maak dit erger dat niemand dit net sal sê nie.,Dit is net erger as niemand dit net sê nie.,0.969
47,Kom dan binne twintig minute by die aanloopbaan.,vergader binne 20 minute op die aanloopbaan.,0.969
48,Dit is nog steeds in die lug.,dit is nog steeds 'n gooi ..,0.969
49,"Ja, ek kan onthou dat dit baie goed was.",Ja ek onthou dit..dit was redelik goed,0.969
50,"As hulle geld vra, vertel hulle nee. Geen agent moet betaal word voordat u die werk ontvang het nie.","(As hulle geld vra, sê u nee .... geen agent word betaal voordat u werk gekry het nie.",0.969
51,En daar is groot getalle van hierdie selle wat die senuweestelsel uitmaak.,Die senuweestelsel bestaan ​​uit 'n groot aantal selle.,0.969
52,Daardie liedjie word deur ouens vir hul vriendinne gespeel.,En ouens sal daardie liedjie vir hul vriendin of iets speel.,0.969
53,Kroasië begin aftelling tot historiese EU -inskrywing,Kroasië -aftellings om by EU aan te sluit,0.969
54,Ek geniet dit wanneer die underdog wen.,Ek hou van wanneer die underdog wen.,0.969
55,Green Lantern moet deur DC Comics weer as gay bekendgestel word,Green Lantern moet as gay superheld herbegin word,0.969
56,Moffitt het gesê die resultate moet in 'n ander studie herhaal word voordat die individue getoets word vir die teenwoordigheid van die lang of kort weergawes van die geen.,Professor Moffitt het gesê die resultate moet gerepliseer word voordat die individue getoets word vir die teenwoordigheid van die lang of kort weergawes van die geen.,0.969
57,Die studie van hierdie wesens was my lewenswerk.,Ek het my hele lewe lank aan hierdie wesens bestudeer.,0.969
58,Die man eet.,'N Man eet kos.,0.969
59,"Die blinde man het gesê: 'Ek sien', terwyl hy sy hamer optel en sien.","Ek sien, sê die blinde man, terwyl hy sy hamer optel en sien.",0.969
60,Die man en twee jong seuns spring op 'n trampolien.,'N Man en twee seuns spring op 'n trampolien.,0.969
61,Greyhound doen 'n goeie werk om mense na verskillende plekke te vervoer.,Greyhound is redelik goed daarin om plekke te kry waarheen u moet gaan.,0.969
62,"Hy het die geweer opgehef, en hoewel dit geskud het, wys dit steeds in David se rigting.","Die geweer is nog steeds gewys, en alhoewel sy hand gebewe het, het hy feitlik permanent na David gerig.",0.969
63,Die nommer van my pa se vriende verbaas my.,Ek is verbaas hoeveel vriende my pa gehad het.,0.967
64,Ek geniet Billy Talent baie. Hulle is een van my gunsteling groepe.,"Ek hou net van Billy Talent, hulle is een van my gunstelinge.",0.967
65,Twee vroue wat met 'n baba poseer.,Twee glimlaggende vroue wat 'n baba vashou.,0.938
66,"Sterkte om u taak te voltooi. As u die antwoord reg kry, kan u nog 5 punte verdien.",Sterkte en dit sou nog 5 punte werd wees as u u antwoord reg kry?,0.938
67,"Hul adres is: 47483 Conneticut Dr, Nashville.",Hulle woon op 47483 Coneticuit Drive in Nashville,0.938
68,Hy beweer dat hy 'n paar sonbrille verlang.,Hy sê hy wil 'n paar sonbrille hê!,0.938
69,"Hou aan om in verskillende gebiede te soek. Daar is ordentlike, aangename vroue daar buite.","Hou aan om op verskillende plekke te kyk, daar is ordentlike, pret, vroue daar buite ...",0.938
70,Ek was veronderstel om op my prom-aand te gaan fliek en te gaan jaag.,Op my prom -aand was ek veronderstel om te gaan fliek en gaan kartwedrenne!,0.938
71,Die skaliestukke lyk baie mooi.,Close-up stukke skalie lyk baie mooi.,0.938
72,Ongeveer 60 is doodgemaak in Ivory Coast Stampede,61 dood in Ivory Coast Stampede,0.938
73,Nie meer as enige ander vrou nie.,Nie meer as enige ander meisie nie!,0.938
74,"Ek stem nie saam nie, ek is mal oor ER en 'n veldbrand!","Nee, ek is mal oor er .. en veldbrand!",0.938
75,Coldplay raak regtig vinnig gewild.,Coldplay kom regtig vinnig op!,0.938
76,"Die opvolger, Pikmin 2, is in 2004 vrygestel.",Pikmin het ook in 2004 'n opvolger genaamd Pikmin 2 vir die GameCube.,0.938
77,'N Vrou en man dans in die reën.,'N Man en vrou dans in reën.,0.938
78,Jamun -bome begin van Maart tot April blom.,Die Jamun-boom begin in Maart-April blom.,0.938
79,Cottontail konyne toon 'n groter weerstand teen myxomatose as Europese konyne.,Cottontail konyne kry nie die siektekomomatose so maklik soos Europese konyne nie.,0.938
80,Ek en my vriende was mal daaroor om manikure te kry.,Ek en my vriende was mal daaroor om uit te gaan vir 'n manikuur.,0.938
81,Die tweede antwoord was dat ek net toilet toe gegaan het en ek het 'n Tampax gekry.,Die 2de antwoord was: ek het net toilet toe gegaan en ek het 'n Tampax gekry.,0.938
82,Bishan het tans 3 winkelsentrums.,Bishan het drie winkelsentrums.,0.938
83,"Goed, wie is gereed vir 'n piesang-ruimtevoedige botterpannekoek?","Goed, wie wil piesangpannekoeke met grondboontjiebotter hê?",0.938
84,"Ek het êrens gelees, 'n nuwe film kom in 2008 of volgende jaar.","Ek het êrens gelees, 'n nuwe film kom volgende jaar of 2008.",0.938
85,Een vrou meet die enkel van 'n ander vrou.,'N Vrou meet die enkel van 'n ander vrou.,0.938
86,"Dit kan geneties wees, of hy hou dalk van donkerkleurige grimering op sy neus.",Miskien is dit geneties ... of miskien hou hy van donker grimering op sy neus !!!,0.938
87,"Ek hou van Tess, maar Jessica is te veel van 'n goody-goody!","Ek hou van Tess, Jessica is vir Goody Goody!",0.938
88,Pittodrie Stadium is 'n sokkerstadion in die Skotse stad Aberdeen.,"Pittodrie Stadium is 'n stadion in Aberdeen, Skotland.",0.938
89,Voel nie sleg nie. My seun is 31 en nog steeds enkellopend.,"Moenie sleg voel nie, my seun is 31 en nog steeds enkellopend.",0.938
90,"'N Goeie webwerf om u boeke te verkoop, is Half.com.",Half.com is 'n wonderlike webwerf om u boeke te verkoop!,0.938
91,"Blomme, normaalweg rose en 'n boks lekkergoed.",Blomme rose normaalweg en 'n ding van lekkergoed!,0.938
92,Ek gaan jou veilig uit Rome haal.,Ek sal jou van Rome na veiligheid neem.,0.938
93,"Wel, hier is 'n Slipknot -webwerf www.pulseofthemaggots.com.",Um goed hier is 'n Slipknot -webwerf www.pulseofthemaggots.com !!,0.938
94,U vrae maak geen sin nie.,U vrae maak nie sin nie !!!!!!,0.938
95,"Dit hang af, wil jy hom regtig ontmoet?",Dit hang af of u hom regtig wil ontmoet.,0.938
96,Die plat aarde -model is 'n siening dat die vorm van die aarde 'n plat vlak is.,Die idee van 'n plat aarde is dat die oppervlak van die aarde plat is.,0.938
97,Fluoxetine is 'n antidepressant van die selektiewe serotonienheropname -remmerklas.,Fluoxetine is een van 'n groep antidepressante wat selektiewe serotonienheropname -remmers genoem word.,0.938
98,U het reeds u besluit geneem.,U het al u besluit geneem .... dit is verby.,0.938
99,"Amsterdam is net 'n klomp bloedige prostitute, is dit nie?","Daar is net 'n klomp prostitute in Amsterdam, nie waar nie?",0.938
100,Siriese opposisie bied Assad -wapenstilstand in HOM's vir die duur van Ramadan,Siriese opposisie bied Assad se magte wapenstilstand vir die duur van Ramadan,0.938
101,Ek hou van daardie liedjie as dit die regte liedjie is.,Ek hou van daardie liedjie as dit die regte liedjie is;),0.938
102,Obama prys Mandela 'Inspiration',Obama kom Mandela se inspirasie -effek,0.938
103,Maak jouself gelukkig voor iemand anders!,Maak uself gelukkig voor iemand anders!,0.938
104,KL-aandele bly middelmiddag hoër,KL-aandele gaan voort in die middel van die middag,0.938
105,Handtekening verwys ook na 'n persoon se handtekening.,'N Handtekening kan ook iemand se handtekening beteken.,0.938
106,Game Maker is 'n Windows -rekenaarprogram wat oorspronklik ontwikkel is deur Mark Overmars in die Delphi -programmeringstaal.,Game Maker is 'n program vir Windows - 'n bedryfstelsel - wat eerste deur Mark Overmars gemaak is.,0.938
107,Geen wonder dat Edward so reageer nie.,Dit was geen verrassing dat Edward so gereageer het nie.,0.938
108,Ek is nie seker of u saksofoon of klaviermusiek benodig nie.,Nie seker of u in elk geval sax- of klaviermusiek nodig het nie.,0.938
109,Keifer het goed opgetree soos Jack Bauer.,"Ja, Keifer doen 'n goeie werk soos Jack Bauer !!",0.938
110,Teen 1850 noem Strauss homself Levi.,Teen 1850 het hy die naam 'Levi Strauss' aangeneem.,0.938
111,Neem hom eenkant en vertel hom hoe jy regtig voel.,Neem hom eenkant en vertel hom hoe jy regtig voel,0.938
112,Fred Hoyle word gekrediteer deur die term Big Bang tydens 'n radio -uitsending van 1949 te laat saamwerk.,Fred Hoyle noem die teorie die 'Big Bang' 'op sy radioprogram.,0.938
113,Snowden sien 'geen kans' vir ons billike verhoor,Snowden sien 'geen kans nie' om 'n regverdige verhoor in U.S.,0.938
114,Ek glo dit kon meer dramaties gewees het.,Ek dink dit kon meer dramaties gewees het!,0.938
115,"'N Minimum loon is die laagste, daaglikse, daaglikse of maandelikse loon wat werkgewers wettiglik aan werknemers of werkers kan betaal.",Die minimum loon is die minste geld wat werknemers van 'n onderneming betaal.,0.938
116,Ek is swart en vind dit snaaks.,Ek is swart en vind dit skreeusnaaks snaaks !!!,0.938
117,"Kunstenaars se borsels kry gewoonlik genommerde groottes, hoewel daar geen presiese standaard vir hul fisiese afmetings is nie.","Kunstenaarsborsels het gewoonlik groottes met getalle, maar daar is geen standaard nie.",0.938
118,"Ek weet nie, jammer, maar sy het 'n wonderlike stem en my gunsteling liedjie van haar is wegbreek.","Ek weet nie jammer nie, maar sy het 'n wonderlike stem en my gunsteling liedjie van haar is wegbreek",0.938
119,Federer wen die 7de Wimbledon -titel,Federer vang die 7de Wimbledon -titel vas,0.938
120,U moet u lewe opnuut begin.,U moet u lewe 'n nuwe begin.,0.938
121,"By die 2006 -sensus het Euroa 'n bevolking van 2,776 gehad.",In 2006 het daar 2 776 mense in die stad gewoon.,0.938
122,Ek het baie hulp van Jack Daniels gekry.,Jack Daniels het my baie gehelp.,0.938
123,Hoe kan ek te werk gaan om haar terug te wen?,Hoe wen ek haar terug?,0.938
124,Die implementering van die bepalings van die richtlijn oor sanksies teen werkgewers moet ondersteun en gemonitor word.,"Dit sal die implementering van die richtlijn, wat boetes vir werkgewers uiteensit, moet monitor en beheer.",0.938
125,Denkova & Staviski is die eerste Bulgaarse figuurskaatsers wat medalje by die World Figuurskaatskampioenskappe medalje het.,"Denkova en Staviski is die eerste Bulgaarse skaatsers wat wêrelde gewen het, wat hulle in 2006 en 2007 gedoen het.",0.938
126,Xenon is die enigste element wat nege stabiele isotope het.,Xenon het byvoorbeeld 9 isotope.,0.938
127,"Om jou te sien, gaan jou ouma baie gelukkig maak.",Ouma sal jou graag sien.,0.938
128,Mense hou van en begeer die onbereikbare.,Mense hou van en wil hê wat hulle nie kan hê nie.,0.938
129,"Matthew McConaughey, en ek is nie eens gay nie.",Matthew McChanughey .. en ek is nog nie gay nie!,0.938
130,Vanjaar se soeke na liggame het twintig liggame opgelewer.,Twintig liggame is hierdie jaar gevind.,0.938
131,Ek het geen idee waarom mense onbeskofte antwoorde gee nie.,Ek weet nie hoekom al die mense aanhou onbeskofte antwoorde gee nie.,0.938
132,"'N vulstasie wat $ 2,52 en nege tiendes per liter kos.","'N Naam van die vulstasie M&H met die prys van $ 2,52.",0.933
133,Michelle Obama om in parke en ontspanning te vertolk,Michelle Obama om op 'Parks and Recreation' te verskyn,0.933
134,Ek beskuldig hom nie dat hy iets anders as slim en ambisieus is nie.,Ek blameer hom immers niks meer as listigheid en ambisie nie.,0.933
135,Die Asiatiese salamanders is primitiewe salamanders wat oral in Asië en in die Europese Rusland aangetref word.,Die Asiatiese salamanders is 'n primitiewe soort salamanders wat in die hele Asië gevind kan word.,0.906
136,Wedding Crashers en die 40 -jarige maagd.,Wedding Crashers en 40-jarige maagd.,0.906
137,"Jy is die broer van Ragnar Lothbrok, is jy nie?","Jy is Ragnar Lothbrok se broer, nie waar nie?",0.906
138,"Om u vraag te beantwoord, enige groot stad. Vra net 'n taxibestuurder.","Om u vraag te beantwoord, enige groot stad ................. vra net 'n taxibestuurder.",0.906
139,"Ons is al twee miljoen, twee oor die oorspronklike begroting.","Ons het die oorspronklike begroting met 2,2 miljoen oorskry.",0.906
140,Ek wil graag u kant van die verhaal hoor.,Ek wil u kant hoor,0.906
141,Ek wou sien hoe mense sou reageer.,In omdat ek wou sien hoe mense sou reageer.,0.906
142,"As u dit nie doen nie, is daar 'n rede waarom u nee doen.","As u dit nie doen nie, is daar 'n rede dat u dit nie doen nie.",0.906
143,Mense wil altyd dinge hê wat hulle nie kan kry nie.,Mense wil altyd hê wat hulle nie kan hê nie.,0.906
144,"As u net na die foto's kyk, moet dit grof wees.",Dit moes moeilik gewees het om die foto's te ondersoek.,0.906
145,VSA glo dat Siriese regering chemiese wapens gebruik het,Amerikaanse vermoed dat Sirië chemiese wapens gebruik het,0.906
146,Om na die ander kant oor te kom.,Om na die Ther -kant te kom,0.906
147,"Track Fault ontwrig die treindiens tussen Raffles Place, Marina Bay",Treindiens ontwrig tussen Raffles Place en Marina Bay,0.906
148,Ek weet niks van haar pa nie,Ek weet nie van haar pa nie.,0.906
149,Hamming kan enkel-bisfoute opspoor en regstel en kan ook dubbele bisfoute opspoor.,Met Hamming-kodes is dit moontlik om een-bis-foute reg te stel en twee-bis-foute op te spoor.,0.906
150,"Lewe op 'n gebed. ""Bon Jovi",Livin op 'n gebed Bon Jovi,0.906
151,'N Swemmer doen die rugslag in die swembad.,'N Persoon wat die agterste beroerte in 'n swembad doen,0.906
152,"EW, Bridgette se drink van die melkkarton.",Phew Bridgette drink melk reg uit die boks.,0.906
153,Ek sien daarna uit om die res van die reeks te lees.,Ek sien uit daarna om die res in hierdie reeks te lees.,0.906
154,"Die gebruik van die leuse ""Say No No"" hang af van die omstandighede.",Sê net nee hang af wat u nee sê.,0.906
155,Hierdie boek was baie pret.,** Spoiler Alert ** Dit was 'n baie aangename boek.,0.906
156,Ek het 'n senuweeagtige maag gehad omdat hy my bang gemaak het.,"Ek het skoenlappers in my maag gehad, en hy het my bang gemaak.",0.906
157,Ek dink jy moet wag totdat jy volwasse genoeg word om hierdie situasie te hanteer.,"As u dit nie kan hanteer nie, wag totdat u volwasse genoeg is.",0.906
158,Dit sal ook 'n bestuursplan vir die rioolslyk insluit.,Die bestuursplan vir afvalslyk is ook ingesluit.,0.906
159,"Omstreeks 12 uur het die plant metielisosianaatgas en ander gifstowwe vrygestel, wat gelei het tot die blootstelling van meer as 500,000 mense.","Op 3 Desember 1984 het die aanleg 42 ton giftige metielisosianaatgas vrygestel, wat meer as 500,000 mense aan giftige gasse blootgestel het.",0.906
160,U moet 'n agent kry en seker maak dat u betaal word voordat u iemand anders betaal.,Kry 'n agent ... en betaal niemand voordat u betaal word nie.,0.906
161,As u die derde 1/18 ken; Deel dit asseblief met my!,"As u die derde 1/18 ken, deel asseblief met my !!!",0.906
162,Dikwels val die senuweestelsel na daardie tipe vernedering inmekaar.,Na sulke vernedering sal die senuweestelsel ineenstort.,0.906
163,"Dude, jy moet my met 'n nuwe telefoon aansluit.","Man, ek het 'n nuwe foon van u nodig.",0.906
164,"Dit is nie maklik nie, maar dit is die moeite werd.","Dit is beslis nie maklik nie, maar is die moeite werd!",0.906
165,Raimond Aumann was 'n Duitse sokkerspeler.,Raimond Aumann is 'n voormalige Duitse sokkerspeler.,0.906
166,Noord-Korea skiet drie kort afstand missiele af,N. Korea skiet kort-afstand missiele af,0.906
167,Die antwoord is omdat u dit geniet om in die teenwoordigheid van daardie persoon te wees.,"Die antwoord is B'cuz, jy voel goed om daardie persoon by jou te hê.",0.906
168,Dit is snaaks en baie op 'n manier wat net Terry Pratchett kan wees.,"Slim en wonderlik, soos net Terry Pratchett kan wees.",0.906
169,Ek hou van Sinatra vir klassieke optredes en buble vir herlewings.,Sinatra vir klassieke en buble vir herlewings ...,0.906
170,"Dit is soos, grof, maar tog vreemd lekker.","Dit is walglik, maar terselfdertyd, vreemd lekker.",0.906
171,"Ek is bewus van die voorganger, veronderstel ek.",Ek neem aan dat u van die voorganger weet.,0.906
172,Die eerste keer dat ek na sy groen oë kyk!,Die eerste keer dat ek sy groen oë sien!,0.906
173,Dit is nie belasting of openbare pryse nie.,Dit is nie 'n belasting of openbare prys nie.,0.906
174,"Ek het gesê: 'Goed, julle twee, opstyg.","Goed, julle twee kom nou hiervandaan, 'het ek vir hulle gesê.",0.906
175,Tydens die verhoor het Morales 'opregte spyt en berou' uitgespreek vir sy optrede.,"Morales, wat in Julie skuldig gepleit het, het 'opregte spyt en berou' oor sy misdade uitgespreek.",0.906
176,Wil u Vrydag 'n film by my sien?,Ek het gewonder of jy Vrydag 'n film saam met my wil gaan sien?,0.906
177,Sandro Salvadore was 'n Italiaanse sokkerspeler.,Sandro Salvadore is 'n voormalige Italiaanse sokkerspeler.,0.906
178,Die vergadering het die einde van sy termyn vir 29 September 1791 vasgestel.,Die Nasionale Vergadering het besluit dat dit op 29 September 1791 sal ophou om Frankryk te regeer.,0.906
179,"Kapitaaloortredings in Iran sluit in moord, verkragting, gewapende roof, afvalligheid, godslastering, ernstige dwelmhandel, herhaalde sodomie, owerspel, prostitusie, hoogverraad en spioenasie.","Kapitaaloortredings in Iran sluit in moord, verkragting, gewapende roof, ernstige dwelmhandel en owerspel.",0.906
180,Knomband kan een van die vele soorte rugsteunmateriaal wees wat met 'n kleefmiddel bedek is.,Knomband is 'n band wat met kleefmiddel bedek is en gebruik word om voorwerpe aanmekaar te plak.,0.906
181,"Dit is ook die onderwerp van 'n dokumentêr, Satanis.","Satanis, 'n hele dokumentêr, is ook in 1970 daaroor gemaak.",0.906
182,"Dit is 'n huurkontrak van vyf jaar, 50 groot per maand ... .... my naam daarop.","Ons het 'n verband, nog vyf jaar ... 50,000 per maand.",0.906
183,Dit maak nie saak of die vrou erken dat sy van jou hou of nie.,Dit maak nie saak of die meisie erken of sy van u hou of nie.,0.906
184,Ek kan nie wag om die volgende een in die reeks te lees nie.,Kan nie wag om die volgende een te lees nie.,0.906
185,Ek het nie eens as kind 'n troeteldier gehad nie.,Ons het nie 'n dier gehad toe ek klein was nie.,0.906
186,Die dosis van hierdie medisyne moet moontlik deur u dokter aangepas word.,U dokter moet moontlik u medikasie aanpas.,0.906
187,Ek was mal daaroor en dit was 'n baie goeie film.,Ek was mal daaroor dat dit 'n goeie film was.,0.906
188,'N Persoon vou 'n tortilla.,'N Man vou 'n tortilla.,0.906
189,Jy is tot dusver te jonk of is verlief.,Tot op hede tot op hede of verlief wees!,0.906
190,Waarom nie ophou praat en 'n lewe kry nie?,Hoe gaan dit met praat en 'n lewe kry!,0.906
191,By die sensus van 2006 het Eugowra 'n bevolking van 535 gehad.,In 2006 het 535 mense in Eugowra gewoon.,0.906
192,'N Vaste is 'n sterk versterkte verdedigingsstruktuur.,Stronghold beteken kasteel of enige ander sterk versterkte plek.,0.906
193,"Dit is die sleutel, en die res sal volg.",Al die res sal binnekort volg.,0.906
194,"Goed, ek het nou die praatkussing.","Goed, nou het ek 'n praatkussing.",0.906
195,"Ek kan dit nie self sien nie, maar ek het al 'n hele paar mense gesê.","Ek kan dit nie self sien nie, maar ek het al 'n hele paar mense gesê.",0.906
196,"Nee, ek vra om verskoning; Al wat ek weet, is dat dit 'n goeie film was.","Nee, Sry, al wat ek weet, was dat dit 'n goeie film was",0.906
197,Een belangrike advies: moenie 'n vriend hê nie.,"Een ding, het nie 'n vriend nie.",0.906
198,Die een is dood en die ander is uit 'n ander periode.,Hmmmm -dinge dood en die ander uit 'n ander tydperk?,0.906
199,Destyds het Oakland 'n onwaarskynlike plek vir 'n professionele sokkerspan gelyk.,Oakland was 'n onwaarskynlike stad wat 'n professionele Amerikaanse sokkerspan gehad het.,0.906
200,"U probeer alles goed vergeet, en onthou alles sleg.","U probeer net alles goed vergeet, en onthou alles sleg.",0.906
201,Dit is aan jou kêrel om haar te vertel.,U BF moet die ONS wees om haar te vertel.,0.906
202,Ek sal met die seun van A- Foyle praat!,Ek wil met hierdie seun-van-'n-foyle praat!,0.906
203,Die reputasie van die orkes het die prominentste toegeneem tydens die musiekregisseur van Serge Koussevitzky.,Serge Koussevitzky was jare lank hul dirigent en het hulle 'n orkes van wêreldgehalte gemaak.,0.906
204,Ek glo beslis dat daar 'n 'spesiale iemand' vir almal is!,Ek dink dit is 'n 'spesiale iemand' vir almal!,0.906
205,"Schidlof, wat in Wene gebore is, het in 1938 Oostenryk vir Engeland gevlug na die Nazi Anschluss.","Schidlof is in Wene gebore, maar moes Oostenryk verlaat toe die Nazi's kom.",0.906
206,Pachycephalosaurus is 'n geslag van Pachycephalosaurid -dinosourus.,Pachycephalosaurus was 'n lid van die Pachycephalosaurid -familie.,0.906
207,My nommer is verlore. Mag ek joune hê?,"het my nommer verloor, kan ek joune kry!",0.906
208,Die provinsiale setel is Clarksdale.,Dit se kapitaal is Clarksdale.,0.906
209,Ek dink nie dit maak saak wat u ras is nie.,"Ek dink nie dit maak saak as u wit, swart, pers, geel, ens.",0.906
210,"Dit is net soos ek moet hoop, meneer Tulkinghorn.","Dit is waarop ek hoop, meneer Tulkinghorne.",0.906
211,Hy het die bal. Hy gaan op die vlug.,Hy het die bal gekry en hy hardloop.,0.906
212,'N Seun speel met 'n noedel by die swembad.,'N Seun speel met 'n skuimnoedel -speelding by 'n swembad.,0.906
213,"Hierdie boek kon beter geskryf gewees het, maar dit is nog steeds niks om oor te kla nie.","Dus, alhoewel die boek my nie regtig ""wow"" nie, het ek dit nog steeds geniet om dit te lees.",0.906
214,Ek stel voor dat u dit alles weer kyk.,Hoekom kyk jy nie weer daarvan nie?,0.906
215,"@Lutig Andrei, so was Lyndon Johnson en John Kennedy versoenbaar?","@edgarbly Die, so was Lyndon Johnson en John Kennedy versoenbaar?",0.906
216,Die dokter het hulle al weer in hul woonbuurte gekry.,Die dokter het hulle al na sy woonbuurte gestuur.,0.906
217,"Om 'n frase van Holden Caufield, ""fonies"" te leen.",Neem 'n woord van Holden Caulfield hier ... fonies,0.906
218,Dit word sigbaar as dit vuur inasem.,"As hy vuur spoeg, kan jy dit sien.",0.906
219,"By die 2006 -sensus het Beveridge en die omliggende gebied 'n bevolking van 1,192 gehad.","In 2006 het daar 1,192 mense in Beveridge en die plaaslike omgewing gewoon.",0.906
220,Ek weet regtig nie; Dit is 'n ewekansige raaiskoot.,Ek doen nie 'n ewekansige raaiskoot nie,0.906
221,"Charlotte Eagles is 'n Amerikaanse professionele sokkerspan in Charlotte, Noord -Carolina, Verenigde State.","Die Charlotte Eagles is 'n sokkerklub wat in Charlotte, Noord -Carolina, speel.",0.906
222,Die dorp het groot opeenhoping gehad totdat die omseil in die 1960's gebou is.,In die 1960's is 'n omseil gebou om in die dorp te gaan.,0.906
